,0,1,2,3,4,11,12
0,92_14545.html,1,1,一,名詞,イチ,ii
1,92_14545.html,2,1,ある,連体詞,アル,au
2,92_14545.html,2,2,日,名詞,ヒ,i
3,92_14545.html,2,3,の,助詞,ノ,no
4,92_14545.html,2,4,事,名詞,コト,oo
5,92_14545.html,2,5,で,助動詞,デ,e
6,92_14545.html,2,6,ござい,助動詞,ゴザイ,oai
7,92_14545.html,2,7,ます,助動詞,マス,au
8,92_14545.html,2,8,。,記号,。,
9,92_14545.html,3,1,御釈迦様,名詞,オシャカサマ,oaaaa
10,92_14545.html,3,2,は,助詞,ハ,a
11,92_14545.html,3,3,極楽,名詞,ゴクラク,ouau
12,92_14545.html,3,4,の,助詞,ノ,no
13,92_14545.html,3,5,蓮池,名詞,ハスイケ,auie
14,92_14545.html,3,6,の,助詞,ノ,no
15,92_14545.html,3,7,ふち,名詞,フチ,ui
16,92_14545.html,3,8,を,助詞,ヲ,o
17,92_14545.html,3,9,、,記号,、,
18,92_14545.html,3,10,独り,名詞,ヒトリ,ioi
19,92_14545.html,3,11,で,助詞,デ,e
20,92_14545.html,3,12,ぶらぶら,副詞,ブラブラ,uaua
21,92_14545.html,3,13,御,接頭詞,ゴ,o
22,92_14545.html,3,14,歩き,名詞,アルキ,aui
23,92_14545.html,3,15,に,助詞,ニ,ni
24,92_14545.html,3,16,なっ,動詞,ナッ,nau
25,92_14545.html,3,17,て,助詞,テ,e
26,92_14545.html,3,18,いらっしゃい,動詞,イラッシャイ,iaai
27,92_14545.html,3,19,まし,助動詞,マシ,ai
28,92_14545.html,3,20,た,助動詞,タ,a
29,92_14545.html,3,21,。,記号,。,
30,92_14545.html,4,1,池,名詞,イケ,ie
31,92_14545.html,4,2,の,助詞,ノ,no
32,92_14545.html,4,3,中,名詞,ナカ,naa
33,92_14545.html,4,4,に,助詞,ニ,ni
34,92_14545.html,4,5,咲い,動詞,サイ,ai
35,92_14545.html,4,6,て,助詞,テ,e
36,92_14545.html,4,7,いる,動詞,イル,iu
37,92_14545.html,4,8,蓮,名詞,ハチス,aiu
38,92_14545.html,4,9,の,助詞,ノ,no
39,92_14545.html,4,10,花,名詞,ハナ,ana
40,92_14545.html,4,11,は,助詞,ハ,a
41,92_14545.html,4,12,、,記号,、,
42,92_14545.html,4,13,みんな,名詞,ミンナ,inna
43,92_14545.html,4,14,玉,名詞,ダマ,aa
44,92_14545.html,4,15,の,助詞,ノ,no
45,92_14545.html,4,16,よう,名詞,ヨウ,ou
46,92_14545.html,4,17,に,助詞,ニ,ni
47,92_14545.html,4,18,まっ白,名詞,マッシロ,aio
48,92_14545.html,4,19,で,助動詞,デ,e
49,92_14545.html,4,20,、,記号,、,
50,92_14545.html,4,21,その,連体詞,ソノ,ono
51,92_14545.html,4,22,まん中,名詞,マンナカ,annaa
52,92_14545.html,4,23,に,助詞,ニ,ni
53,92_14545.html,4,24,ある,動詞,アル,au
54,92_14545.html,4,25,金色,名詞,キンイロ,inio
55,92_14545.html,4,26,の,助詞,ノ,no
56,92_14545.html,4,27,蕊,名詞,シベ,ie
57,92_14545.html,4,28,から,助詞,カラ,aa
58,92_14545.html,4,29,は,助詞,ハ,a
59,92_14545.html,4,30,、,記号,、,
60,92_14545.html,4,31,何とも,副詞,ナントモ,nanoo
61,92_14545.html,4,32,云え,動詞,イエ,ie
62,92_14545.html,4,33,ない,形容詞,ナイ,nai
63,92_14545.html,4,34,好い,形容詞,ヨイ,oi
64,92_14545.html,4,35,匂,名詞,ニオイ,nioi
65,92_14545.html,4,36,が,助詞,ガ,a
66,92_14545.html,4,37,、,記号,、,
67,92_14545.html,4,38,絶間,名詞,タエマ,aea
68,92_14545.html,4,39,なく,形容詞,ナク,nau
69,92_14545.html,4,40,あたり,名詞,アタリ,aai
70,92_14545.html,4,41,へ,助詞,ヘ,e
71,92_14545.html,4,42,溢れ,動詞,アフレ,aue
72,92_14545.html,4,43,て,助詞,テ,e
73,92_14545.html,4,44,居り,動詞,オリ,oi
74,92_14545.html,4,45,ます,助動詞,マス,au
75,92_14545.html,4,46,。,記号,。,
76,92_14545.html,5,1,極楽,名詞,ゴクラク,ouau
77,92_14545.html,5,2,は,助詞,ハ,a
78,92_14545.html,5,3,丁度,副詞,チョウド,ouo
79,92_14545.html,5,4,朝,名詞,アサ,aa
80,92_14545.html,5,5,な,助動詞,ナ,na
81,92_14545.html,5,6,の,名詞,ノ,no
82,92_14545.html,5,7,で,助動詞,デ,e
83,92_14545.html,5,8,ござい,助動詞,ゴザイ,oai
84,92_14545.html,5,9,ましょ,助動詞,マショ,ao
85,92_14545.html,5,10,う,助動詞,ウ,u
86,92_14545.html,5,11,。,記号,。,
87,92_14545.html,6,1,やがて,副詞,ヤガテ,aae
88,92_14545.html,6,2,御釈迦様,名詞,オシャカサマ,oaaaa
89,92_14545.html,6,3,は,助詞,ハ,a
90,92_14545.html,6,4,その,連体詞,ソノ,ono
91,92_14545.html,6,5,池,名詞,イケ,ie
92,92_14545.html,6,6,の,助詞,ノ,no
93,92_14545.html,6,7,ふち,名詞,フチ,ui
94,92_14545.html,6,8,に,助詞,ニ,ni
95,92_14545.html,6,9,御,接頭詞,ゴ,o
96,92_14545.html,6,10,佇み,動詞,タタズミ,aaui
97,92_14545.html,6,11,に,助詞,ニ,ni
98,92_14545.html,6,12,なっ,動詞,ナッ,nau
99,92_14545.html,6,13,て,助詞,テ,e
100,92_14545.html,6,14,、,記号,、,
101,92_14545.html,6,15,水,名詞,ミズ,iu
102,92_14545.html,6,16,の,助詞,ノ,no
103,92_14545.html,6,17,面,名詞,メン,en
104,92_14545.html,6,18,を,助詞,ヲ,o
105,92_14545.html,6,19,蔽っ,動詞,オオッ,oou
106,92_14545.html,6,20,て,助詞,テ,e
107,92_14545.html,6,21,いる,動詞,イル,iu
108,92_14545.html,6,22,蓮,名詞,ハチス,aiu
109,92_14545.html,6,23,の,助詞,ノ,no
110,92_14545.html,6,24,葉,名詞,ハ,a
111,92_14545.html,6,25,の,助詞,ノ,no
112,92_14545.html,6,26,間,名詞,マ,a
113,92_14545.html,6,27,から,助詞,カラ,aa
114,92_14545.html,6,28,、,記号,、,
115,92_14545.html,6,29,ふと,副詞,フト,uo
116,92_14545.html,6,30,下,名詞,シタ,ia
117,92_14545.html,6,31,の,助詞,ノ,no
118,92_14545.html,6,32,容子,名詞,ヨウス,ouu
119,92_14545.html,6,33,を,助詞,ヲ,o
120,92_14545.html,6,34,御覧,名詞,ゴラン,oan
121,92_14545.html,6,35,に,助詞,ニ,ni
122,92_14545.html,6,36,なり,動詞,ナリ,nai
123,92_14545.html,6,37,まし,助動詞,マシ,ai
124,92_14545.html,6,38,た,助動詞,タ,a
125,92_14545.html,6,39,。,記号,。,
126,92_14545.html,7,1,この,連体詞,コノ,ono
127,92_14545.html,7,2,極楽,名詞,ゴクラク,ouau
128,92_14545.html,7,3,の,助詞,ノ,no
129,92_14545.html,7,4,蓮池,名詞,ハスイケ,auie
130,92_14545.html,7,5,の,助詞,ノ,no
131,92_14545.html,7,6,下,名詞,シタ,ia
132,92_14545.html,7,7,は,助詞,ハ,a
133,92_14545.html,7,8,、,記号,、,
134,92_14545.html,7,9,丁度,副詞,チョウド,ouo
135,92_14545.html,7,10,地獄,名詞,ジゴク,iou
136,92_14545.html,7,11,の,助詞,ノ,no
137,92_14545.html,7,12,底,名詞,ソコ,oo
138,92_14545.html,7,13,に,助詞,ニ,ni
139,92_14545.html,7,14,当っ,動詞,アタッ,aau
140,92_14545.html,7,15,て,助詞,テ,e
141,92_14545.html,7,16,居り,動詞,オリ,oi
142,92_14545.html,7,17,ます,助動詞,マス,au
143,92_14545.html,7,18,から,助詞,カラ,aa
144,92_14545.html,7,19,、,記号,、,
145,92_14545.html,7,20,水晶,名詞,スイショウ,uiou
146,92_14545.html,7,21,の,助詞,ノ,no
147,92_14545.html,7,22,よう,名詞,ヨウ,ou
148,92_14545.html,7,23,な,助動詞,ナ,na
149,92_14545.html,7,24,水,名詞,ミズ,iu
150,92_14545.html,7,25,を,助詞,ヲ,o
151,92_14545.html,7,26,透き,動詞,スキ,ui
152,92_14545.html,7,27,徹し,動詞,テッシ,ei
153,92_14545.html,7,28,て,助詞,テ,e
154,92_14545.html,7,29,、,記号,、,
155,92_14545.html,7,30,三,名詞,サン,an
156,92_14545.html,7,31,途,名詞,ト,o
157,92_14545.html,7,32,の,助詞,ノ,no
158,92_14545.html,7,33,河,名詞,カワ,aa
159,92_14545.html,7,34,や,助詞,ヤ,a
160,92_14545.html,7,35,針,名詞,ハリ,ai
161,92_14545.html,7,36,の,助詞,ノ,no
162,92_14545.html,7,37,山,名詞,ヤマ,aa
163,92_14545.html,7,38,の,助詞,ノ,no
164,92_14545.html,7,39,景色,名詞,ケシキ,eii
165,92_14545.html,7,40,が,助詞,ガ,a
166,92_14545.html,7,41,、,記号,、,
167,92_14545.html,7,42,丁度,副詞,チョウド,ouo
168,92_14545.html,7,43,覗き眼鏡,名詞,ノゾキメガネ,nooieane
169,92_14545.html,7,44,を,助詞,ヲ,o
170,92_14545.html,7,45,見る,動詞,ミル,iu
171,92_14545.html,7,46,よう,名詞,ヨウ,ou
172,92_14545.html,7,47,に,助詞,ニ,ni
173,92_14545.html,7,48,、,記号,、,
174,92_14545.html,7,49,はっきり,副詞,ハッキリ,aii
175,92_14545.html,7,50,と,助詞,ト,o
176,92_14545.html,7,51,見える,動詞,ミエル,ieu
177,92_14545.html,7,52,の,名詞,ノ,no
178,92_14545.html,7,53,で,助動詞,デ,e
179,92_14545.html,7,54,ござい,助動詞,ゴザイ,oai
180,92_14545.html,7,55,ます,助動詞,マス,au
181,92_14545.html,7,56,。,記号,。,
182,92_14545.html,8,1,すると,接続詞,スルト,uuo
183,92_14545.html,8,2,その,連体詞,ソノ,ono
184,92_14545.html,8,3,地獄,名詞,ジゴク,iou
185,92_14545.html,8,4,の,助詞,ノ,no
186,92_14545.html,8,5,底,名詞,ソコ,oo
187,92_14545.html,8,6,に,助詞,ニ,ni
188,92_14545.html,8,7,、,記号,、,
189,92_14545.html,8,8,陀多,名詞,陀多,aa
190,92_14545.html,8,9,と,助詞,ト,o
191,92_14545.html,8,10,云う,動詞,イウ,iu
192,92_14545.html,8,11,男,名詞,オトコ,ooo
193,92_14545.html,8,12,が,助詞,ガ,a
194,92_14545.html,8,13,一,名詞,イチ,ii
195,92_14545.html,8,14,人,名詞,ニン,nin
196,92_14545.html,8,15,、,記号,、,
197,92_14545.html,8,16,ほか,名詞,ホカ,oa
198,92_14545.html,8,17,の,助詞,ノ,no
199,92_14545.html,8,18,罪人,名詞,ザイニン,ainin
200,92_14545.html,8,19,と,助詞,ト,o
201,92_14545.html,8,20,一,名詞,イチ,ii
202,92_14545.html,8,21,しょ,名詞,ショ,o
203,92_14545.html,8,22,に,助詞,ニ,ni
204,92_14545.html,8,23,蠢い,動詞,ウゴメイ,uoei
205,92_14545.html,8,24,て,助詞,テ,e
206,92_14545.html,8,25,いる,動詞,イル,iu
207,92_14545.html,8,26,姿,名詞,スガタ,uaa
208,92_14545.html,8,27,が,助詞,ガ,a
209,92_14545.html,8,28,、,記号,、,
210,92_14545.html,8,29,御,接頭詞,ゴ,o
211,92_14545.html,8,30,眼,名詞,メ,e
212,92_14545.html,8,31,に,助詞,ニ,ni
213,92_14545.html,8,32,止まり,動詞,トマリ,oai
214,92_14545.html,8,33,まし,助動詞,マシ,ai
215,92_14545.html,8,34,た,助動詞,タ,a
216,92_14545.html,8,35,。,記号,。,
217,92_14545.html,9,1,この,連体詞,コノ,ono
218,92_14545.html,9,2,陀多,名詞,陀多,aa
219,92_14545.html,9,3,と,助詞,ト,o
220,92_14545.html,9,4,云う,動詞,イウ,iu
221,92_14545.html,9,5,男,名詞,オトコ,ooo
222,92_14545.html,9,6,は,助詞,ハ,a
223,92_14545.html,9,7,、,記号,、,
224,92_14545.html,9,8,人,名詞,ヒト,io
225,92_14545.html,9,9,を,助詞,ヲ,o
226,92_14545.html,9,10,殺し,動詞,コロシ,ooi
227,92_14545.html,9,11,たり,助詞,タリ,ai
228,92_14545.html,9,12,家,名詞,イエ,ie
229,92_14545.html,9,13,に,助詞,ニ,ni
230,92_14545.html,9,14,火,名詞,ヒ,i
231,92_14545.html,9,15,を,助詞,ヲ,o
232,92_14545.html,9,16,つけ,動詞,ツケ,ue
233,92_14545.html,9,17,たり,助詞,タリ,ai
234,92_14545.html,9,18,、,記号,、,
235,92_14545.html,9,19,いろいろ,名詞,イロイロ,ioio
236,92_14545.html,9,20,悪事,名詞,アクジ,aui
237,92_14545.html,9,21,を,助詞,ヲ,o
238,92_14545.html,9,22,働い,動詞,ハタライ,aaai
239,92_14545.html,9,23,た,助動詞,タ,a
240,92_14545.html,9,24,大,接頭詞,ダイ,ai
241,92_14545.html,9,25,泥坊,名詞,ドロボウ,ooou
242,92_14545.html,9,26,で,助動詞,デ,e
243,92_14545.html,9,27,ござい,助動詞,ゴザイ,oai
244,92_14545.html,9,28,ます,助動詞,マス,au
245,92_14545.html,9,29,が,助詞,ガ,a
246,92_14545.html,9,30,、,記号,、,
247,92_14545.html,9,31,それでも,接続詞,ソレデモ,oeeo
248,92_14545.html,9,32,たった,副詞,タッタ,aa
249,92_14545.html,9,33,一つ,名詞,ヒトツ,iou
250,92_14545.html,9,34,、,記号,、,
251,92_14545.html,9,35,善い,形容詞,ヨイ,oi
252,92_14545.html,9,36,事,名詞,コト,oo
253,92_14545.html,9,37,を,助詞,ヲ,o
